127.0.0.1, 2013-05-08 11:39:14, GET, /, HTTP/1.1, 303, 0.000662
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/default/index, HTTP/1.1, 200, 3.983376
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000772
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000866
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001830
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001341
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000924
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000340
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000356
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000208
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000188
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000159
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000311
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001333
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000878
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000652
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001341
127.0.0.1, 2013-05-08 11:39:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000268
127.0.0.1, 2013-05-08 11:39:41, GET, /bsidesclt_scoreboard, HTTP/1.1, 200, 1.566328
127.0.0.1, 2013-05-08 11:39:44, GET, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 200, 0.038561
127.0.0.1, 2013-05-08 11:41:34, GET, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 500, 0.111201
127.0.0.1, 2013-05-08 11:41:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2013-05-08 11:41:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2013-05-08 11:41:58, GET, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 500, 0.221816
127.0.0.1, 2013-05-08 11:41:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000254
127.0.0.1, 2013-05-08 11:41:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000243
127.0.0.1, 2013-05-08 11:42:05, GET, /bsidesclt_scoreboard/, HTTP/1.1, 500, 0.228297
127.0.0.1, 2013-05-08 11:42:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2013-05-08 11:42:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2013-05-08 11:42:37, GET, /bsidesclt_scoreboard/, HTTP/1.1, 500, 0.026721
127.0.0.1, 2013-05-08 11:42:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2013-05-08 11:42:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2013-05-08 11:42:44, GET, /admin/default/ticket/bsidesclt_scoreboard/127.0.0.1.2013-05-08.11-42-37.b4286f5e-5804-4354-aa56-edf2579b53c1, HTTP/1.1, 303, 0.560850
127.0.0.1, 2013-05-08 11:42:44, GET, /admin/default/index, HTTP/1.1, 200, 0.070239
127.0.0.1, 2013-05-08 11:42:44, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007635
127.0.0.1, 2013-05-08 11:42:44, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011184
127.0.0.1, 2013-05-08 11:42:44, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.009022
127.0.0.1, 2013-05-08 11:42:44, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.012117
127.0.0.1, 2013-05-08 11:42:44, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000976
127.0.0.1, 2013-05-08 11:42:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2013-05-08 11:42:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2013-05-08 11:42:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2013-05-08 11:42:48, POST, /admin/default/index, HTTP/1.1, 303, 0.065162
127.0.0.1, 2013-05-08 11:42:48, GET, /admin/default/ticket/bsidesclt_scoreboard/127.0.0.1.2013-05-08.11-42-37.b4286f5e-5804-4354-aa56-edf2579b53c1, HTTP/1.1, 200, 0.038138
127.0.0.1, 2013-05-08 11:42:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2013-05-08 11:43:10, GET, /bsidesclt_scoreboard/, HTTP/1.1, 500, 0.031911
127.0.0.1, 2013-05-08 11:43:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000260
127.0.0.1, 2013-05-08 11:43:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2013-05-08 11:43:14, GET, /admin/default/ticket/bsidesclt_scoreboard/127.0.0.1.2013-05-08.11-43-10.732e2423-7d08-4bf0-88d3-d9e58bbf323c, HTTP/1.1, 200, 0.034322
127.0.0.1, 2013-05-08 11:43:14, GET, /admin/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000312
127.0.0.1, 2013-05-08 11:43:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2013-05-08 11:43:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/, HTTP/1.1, 200, 0.026450
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.157697
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/js/web2py.js, HTTP/1.1, 304, 0.155351
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/js/calendar.js, HTTP/1.1, 304, 0.155933
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/js/jquery.js, HTTP/1.1, 304, 0.156414
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000249
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000177
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/css/web2py.css, HTTP/1.1, 304, 0.163618
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/css/calendar.css, HTTP/1.1, 304, 0.164465
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006652
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.006700
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.005772
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/images/twitter.png, HTTP/1.1, 304, 0.021117
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/images/facebook.png, HTTP/1.1, 304, 0.000291
127.0.0.1, 2013-05-08 11:43:29, GET, /bsidesclt_scoreboard/static/images/gplus-32.png, HTTP/1.1, 304, 0.000395
127.0.0.1, 2013-05-08 11:43:33, GET, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 200, 0.290585
127.0.0.1, 2013-05-08 11:44:02, GET, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 500, 0.047695
127.0.0.1, 2013-05-08 11:44:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2013-05-08 11:44:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000281
127.0.0.1, 2013-05-08 11:44:35, GET, /bsidesclt_scoreboard/, HTTP/1.1, 200, 0.101171
127.0.0.1, 2013-05-08 11:44:41, GET, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 200, 0.021438
127.0.0.1, 2013-05-08 11:53:58, POST, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 200, 0.024973
127.0.0.1, 2013-05-08 11:54:25, POST, /bsidesclt_scoreboard/default/user/register, HTTP/1.1, 303, 0.376953
